spec,outcome,n,cv_splits,mean_test_r2,sd_test_r2
main68,share_exposed,68,1,0.856251856674556,0.0
main68,substitution_share,68,1,0.8596126066153595,0.0
main68,both_share,68,1,0.8492985410236678,0.0
main68,augmentation_share,68,1,0.5037101540680551,0.0
main68,substitution_within_exposed,68,1,0.167604678307943,0.0
main68,both_within_exposed,68,1,0.15645674011203847,0.0
main68,augmentation_within_exposed,68,1,0.3261673143854058,0.0
lean90,share_exposed,90,1,0.8867818348429126,0.0
lean90,substitution_share,90,1,0.8767927070676632,0.0
lean90,both_share,90,1,0.8847081089275647,0.0
lean90,augmentation_share,90,1,0.5856042750704151,0.0
lean90,substitution_within_exposed,90,1,0.4329537890009153,0.0
lean90,both_within_exposed,90,1,0.2986608340192527,0.0
lean90,augmentation_within_exposed,90,1,0.14602375139560098,0.0
minimal118,share_exposed,118,1,0.8924107228552203,0.0
minimal118,substitution_share,118,1,0.8760752339024134,0.0
minimal118,both_share,118,1,0.8909839590941209,0.0
minimal118,augmentation_share,118,1,0.6251115975839746,0.0
minimal118,substitution_within_exposed,118,1,0.5694791604191582,0.0
minimal118,both_within_exposed,118,1,0.3595414935611695,0.0
minimal118,augmentation_within_exposed,118,1,0.2927193910091037,0.0
