outcome,variable,shapley_r2,shapley_share_of_model_r2
mean_task_exposure,log_gdp_per_capita,0.17795181194345674,0.1911244235617248
mean_task_exposure,pwt_human_capital_index,0.1238406171461339,0.13300773005393046
mean_task_exposure,barro_lee_years_schooling_15_64,0.12763923993897835,0.13708754010858454
mean_task_exposure,pwt_log_real_capital_stock_per_worker,0.04347713163064718,0.046695460025239804
mean_task_exposure,gross_fixed_capital_formation_pct_gdp,0.004024602561314279,0.004322517631012614
mean_task_exposure,wgi_government_effectiveness_score,0.10787013788747839,0.1158550604127532
mean_task_exposure,wgi_regulatory_quality_score,0.09805722085992079,0.10531575716055082
mean_task_exposure,internet_users_pct,0.22818934442355762,0.245080712804082
mean_task_exposure,trade_in_services_pct_gdp,0.020028238422911245,0.021510798242121806
substitution_share,log_gdp_per_capita,0.1858805575086228,0.1992785242166073
substitution_share,pwt_human_capital_index,0.1272576486309975,0.1364301719037201
substitution_share,barro_lee_years_schooling_15_64,0.12868214525626384,0.13795734391697084
substitution_share,pwt_log_real_capital_stock_per_worker,0.04970008559355253,0.05328238651351565
substitution_share,gross_fixed_capital_formation_pct_gdp,0.005310619088358943,0.005693399830456295
substitution_share,wgi_government_effectiveness_score,0.10534791077904496,0.11294121596540309
substitution_share,wgi_regulatory_quality_score,0.09257481621284756,0.09924745762430867
substitution_share,internet_users_pct,0.21838777639642415,0.2341288102990921
substitution_share,trade_in_services_pct_gdp,0.019626074373741583,0.021040689729925996
augmentation_share,log_gdp_per_capita,0.07128623325529707,0.17674498797676513
augmentation_share,pwt_human_capital_index,0.040054783547498196,0.09931065106443177
augmentation_share,barro_lee_years_schooling_15_64,0.035270047490349815,0.08744751735298903
augmentation_share,pwt_log_real_capital_stock_per_worker,0.0808040580360863,0.20034320252151455
augmentation_share,gross_fixed_capital_formation_pct_gdp,0.003117233938608077,0.007728778052094778
augmentation_share,wgi_government_effectiveness_score,0.0281482268621217,0.0697898849627221
augmentation_share,wgi_regulatory_quality_score,0.030385140935889888,0.07533602385965754
augmentation_share,internet_users_pct,0.10362466730421768,0.2569239492734637
augmentation_share,trade_in_services_pct_gdp,0.010637782578877038,0.02637500493636131
