dropped_iso3,r_after_drop,delta
AGO,0.8985326943973282,-0.0008164267142971582
ARE,0.8986059888292073,-0.0007431322824180686
ARG,0.9007773105786179,0.0014281894669925244
AUS,0.8986036027188768,-0.000745518392748501
AUT,0.899238951589221,-0.00011016952240439082
AZE,0.9010808016238357,0.0017316805122103984
BDI,0.898827115481559,-0.0005220056300663245
BEL,0.8983713835356799,-0.0009777375759454365
BEN,0.8992973337412493,-5.178737037603298e-05
BFA,0.8988764571005701,-0.00047266401105527933
BGD,0.8990076460301399,-0.0003414750814854095
BGR,0.8999539237200391,0.0006048026084137792
BLR,0.9016778494077702,0.002328728296144833
BOL,0.8990743646452972,-0.0002747564663281299
BRA,0.900829404558388,0.0014802834467626536
CAN,0.8986180121442747,-0.0007311089673506244
CHE,0.8998320473450767,0.000482926233451364
CHL,0.89895975787099,-0.0003893632406353209
CHN,0.8987894744623665,-0.0005596466492588936
CIV,0.8989655943586334,-0.00038352675299191397
CMR,0.8988575598034514,-0.00049156130817396
COD,0.8973698239188933,-0.0019792971927320435
COG,0.8978301382818941,-0.0015189828297312857
COL,0.8998549972467278,0.0005058761351024454
CRI,0.9013314052570899,0.00198228414546453
CZE,0.8986161656735911,-0.0007329554380341996
DEU,0.899076018849486,-0.0002731022621393908
DNK,0.899370209082589,2.108797096367354e-05
DOM,0.8999872696790338,0.0006381485674084031
DZA,0.9001688683559689,0.0008197472443435272
ECU,0.9015064302806091,0.002157309168983712
EGY,0.9015879892892471,0.0022388681776217556
ESP,0.8985068617197312,-0.0008422593918941956
ETH,0.8977200679302052,-0.001629053181420148
FIN,0.8995354313929131,0.0001863102812877937
FRA,0.8984207899945431,-0.0009283311170822373
GBR,0.8986830188492376,-0.0006661022623877244
GHA,0.900407506097099,0.001058384985473615
GIN,0.8995734271747344,0.00022430606310908097
GRC,0.898989759480835,-0.00035936163079031136
GTM,0.9000069847213925,0.000657863609767162
HKG,0.8991025236816936,-0.0002465974299317164
HND,0.9004533424036096,0.0011042212919842864
HRV,0.8998540093642144,0.0005048882525890974
HTI,0.8976939059687883,-0.0016552151428370632
HUN,0.8991869492212016,-0.000162171890423779
IDN,0.8993250223924321,-2.409871919328843e-05
IND,0.9004828709070066,0.001133749795381278
IRL,0.8989421886086467,-0.0004069325029786297
IRN,0.9001953727023944,0.0008462515907690094
IRQ,0.8992585478429505,-9.057326867489834e-05
ISR,0.8987174867402674,-0.0006316343713579364
ITA,0.8986706837779285,-0.0006784373336968796
JOR,0.9005353776897125,0.0011862565780871304
JPN,0.8980246102928969,-0.0013245108187284194
KAZ,0.8992832975566173,-6.582355500805992e-05
KEN,0.8993958606883665,4.6739576741172684e-05
KGZ,0.8992839397097729,-6.518140185240995e-05
KHM,0.8989623220969877,-0.0003867990146376732
KOR,0.8978976502365772,-0.0014514708750481553
KWT,0.905077604605417,0.005728483493791625
LAO,0.8987668512143543,-0.0005822698972710594
LBY,0.9000128648294397,0.0006637437178143024
LKA,0.8998291934353146,0.00048007232368929564
MAR,0.8997430475308892,0.00039392641926383476
MDG,0.8984829063049906,-0.0008662148066347353
MEX,0.8994861368728417,0.0001370157612163858
MLI,0.8985939328835643,-0.0007551882280610878
MMR,0.8985688240949288,-0.0007802970166965739
MOZ,0.8975986073612252,-0.00175051375040014
MWI,0.8995089483982794,0.00015982728665409063
MYS,0.8992017496942425,-0.00014737141738285775
NER,0.9003177383987504,0.0009686172871250509
NGA,0.8991018408761937,-0.000247280235431635
NIC,0.8989901350782556,-0.0003589860333697015
NLD,0.8991747090368465,-0.00017441207477886245
NOR,0.8985295800161892,-0.0008195410954361382
NPL,0.898912341303058,-0.00043677980856737797
NZL,0.9005581915290541,0.0012090704174287925
OMN,0.9005937404782769,0.0012446193666515448
PAK,0.8995262453011226,0.0001771241894972242
PER,0.8994355757322573,8.645462063194831e-05
PHL,0.8994723083894673,0.00012318727784199623
PNG,0.8982244214299403,-0.0011246996816850485
POL,0.898876129365187,-0.00047299174643833375
PRT,0.8988272640473235,-0.0005218570643018561
PRY,0.9004336915283979,0.0010845704167725678
QAT,0.8996551984676268,0.00030607735600141073
ROU,0.8989887775700645,-0.00036034354156089243
RUS,0.8991752902057415,-0.00017383090588385386
RWA,0.9002529741243623,0.0009038530127369881
SAU,0.8992154753922029,-0.0001336457194224261
SDN,0.8973245279432083,-0.002024593168417077
SEN,0.8991095041567287,-0.00023961695489660428
SGP,0.8992409594140149,-0.00010816169761040939
SLE,0.8986062985568577,-0.0007428225547676526
SLV,0.9010190524754993,0.0016699313638739444
SRB,0.9006167218413264,0.0012676007297010017
SVK,0.899990606202975,0.0006414850913496473
SWE,0.8988397519599209,-0.0005093691517044086
SYR,0.8984973546130182,-0.0008517664986071871
TCD,0.8970990482345722,-0.002250072877053144
TGO,0.8984274641655323,-0.0009216569460930302
THA,0.8993518636117042,2.742500078811716e-06
TJK,0.8990824369472994,-0.00026668416432595876
TUN,0.9000410169659353,0.000691895854309954
TUR,0.8995525992068714,0.00020347809524601246
TZA,0.8991601532305882,-0.000188967881037172
UGA,0.8994086006599593,5.947954833396274e-05
UKR,0.8995657109597552,0.0002165898481298889
USA,0.8988423122705748,-0.0005068088410505878
VEN,0.9013244571824097,0.0019753360707843726
VNM,0.8997547687845883,0.0004056476729629166
YEM,0.8974491306569257,-0.0018999904546996849
ZAF,0.900067858336936,0.0007187372253106838
ZMB,0.8993476934283258,-1.4276832995818722e-06
ZWE,0.8987381518037081,-0.000610969307917264
