sector,adoption_2025,adoption_2024_late,atlas_ai_material_share,atlas_llm_like_share,n_isic2
Technology / Software,0.92,0.88,0.4320773916238282,0.28954292898723766,4
Professional Services,0.82,0.76,0.3809018493817461,0.2738503924073309,7
Financial Services / BFSI,0.8,0.74,0.42865710983411304,0.24698565248044094,3
Media & Telecom,0.74,0.68,0.38928818224063433,0.26599700113771774,4
Retail & Consumer Goods,0.68,0.6,0.25439101177208673,0.09199488891765455,3
Energy & Materials,0.66,0.59,0.25563356973010937,0.07450551108992678,9
Healthcare & Pharma,0.65,0.58,0.14289579939997576,0.07099685290944224,4
Manufacturing,0.65,0.59,0.15443867155470553,0.052265483455520755,24
Logistics & Supply Chain,0.63,0.55,0.28047278847526624,0.08468330551041398,5
Education,0.58,0.48,0.17608673596700714,0.09799628088762012,1
Legal Services,0.52,0.42,0.5030400170704501,0.291678683566079,1
Government & Public,0.5,0.42,0.36526635890711634,0.21837859641676485,1
Real Estate & Const.,0.46,0.38,0.2283342357785523,0.13230664652910612,4
Environment / Climate,0.44,0.34,0.27810721831547786,0.14600866636087872,4
Agriculture,0.42,0.34,0.24979462598573687,0.08937209230584542,3
