domain,margin,coef,se,ci_low,ci_high,n_cells,n_countries,n_groups
ISCO-1 occupations,Headline exposed share,-2.294919079625852,0.6282618118109707,-3.5263122307753543,-1.0635259284763492,799,90,9
ISCO-1 occupations,Substitution-only,-0.616999415814915,0.42292860778883645,-1.4459394870810345,0.21194065545120444,799,90,9
ISCO-1 occupations,Augmentation-only,1.7803889617159976,1.5979645326830427,-1.351621522342766,4.912399445774761,799,90,9
ISCO-2 occupations,Headline exposed share,-0.7613060848586575,0.1333616495890759,-1.0226949180532463,-0.4999172516640687,3084,89,42
ISCO-2 occupations,Substitution-only,-0.3510946665210057,0.11868931645647433,-0.5837257267756953,-0.118463606266316,3084,89,42
ISCO-2 occupations,Augmentation-only,0.2733640000044861,0.39295931854289035,-0.496836264339579,1.0435642643485512,3084,89,42
ISIC sections,Headline exposed share,-1.6647163544681294,0.23681809668951168,-2.128879823979572,-1.2005528849566864,1456,81,19
ISIC sections,Substitution-only,-4.628404581087104,0.6108095912383602,-5.82559137991429,-3.4312177822599184,1456,81,19
ISIC sections,Augmentation-only,0.2418488531503583,0.6069331740917187,-0.9477401680694103,1.4314378743701268,1456,81,19
ISIC-2 industries,Headline exposed share,-0.19944367468293478,0.051918683754607,-0.3012042948419645,-0.09768305452390506,4837,73,88
ISIC-2 industries,Substitution-only,-0.21896254389390224,0.04137138937094162,-0.30005046706094785,-0.13787462072685666,4837,73,88
ISIC-2 industries,Augmentation-only,0.007804521070828989,0.0742165587189935,-0.13765993401839827,0.15326897616005625,4837,73,88
